,name,date_post,tracks,likes,reposts,user,link
289,.,6 July 2020,13,None,None,Thanh Tú Nguyễn,https://soundcloud.com/thanh-t-nguy-n-776940048/sets/wwknd7zuhk9b
290,bom,22 September 2021,15,None,None,BanhBao,https://soundcloud.com/load-571140341/sets/bom
291,Deep,21 May 2021,15,1,None,Sơn Louis,https://soundcloud.com/s-n-louis-233488537/sets/deep
292,Vịtttt,19 April 2021,34,None,None,tanhhhhh,https://soundcloud.com/tanh-nguy-n-222547399/sets/v-tttt
293,Fuckmylife,7 December 2020,15,None,None,tanhhhhh,https://soundcloud.com/tanh-nguy-n-222547399/sets/fuckmylife
294,Tăng ca,27 February 2021,5,1,None,hoanganh290320,https://soundcloud.com/anh-hoang-700551227/sets/t-ng-ca
295,rap viet,17 October 2021,15,None,None,Phạm Thành Đạt,https://soundcloud.com/ph-m-th-nh-t-104209009/sets/rap-viet
296,euphoria,2 October 2020,15,2,None,duyn,https://soundcloud.com/user-404010398/sets/euphoria
297,^^,30 March 2021,15,None,None,Huy Phạm,https://soundcloud.com/huy-ph-m-706651958/sets/jeizentx2sf2
298,Mine,2 October 2020,15,None,None,Minh Ngô,https://soundcloud.com/minh-ngo-906236102/sets/mine
299,Lol Wuyn,19 October 2021,2,None,None,Minh Ngô,https://soundcloud.com/minh-ngo-230644933/sets/lol-wuyn
300,Songs,27 March 2019,15,None,None,Hoàng Huy,https://soundcloud.com/hoang-huy-168366861/sets/songs
301,你好👋,20 May 2020,5,None,None,HanHan……,https://soundcloud.com/user-608076496/sets/cxg9mwbizx3e
302,sad :((,16 July 2021,5,None,None,_imwindyy.06_,https://soundcloud.com/nh-nguy-n-10113611/sets/sad
303,Đức anh :D,28 January 2021,15,None,None,Duc Anh,https://soundcloud.com/duc-anh-166055448/sets/c-anh-d
304,⏳,29 July 2021,15,None,None,Bảo Phúc,https://soundcloud.com/b-o-ph-css/sets/kjzl6i6t47jd
305,nhạc hay,21 March 2021,15,None,None,Duc Nguyen,https://soundcloud.com/duc-nguyen-162059079/sets/nh-c-hay
